subject_id,activity_name,category,split,source_image,source_label,destination_image,destination_label,link_method
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100001.png,Subject.1/Fall backwards/cas100001.txt,images/train/S1_fall_backwards_cas100001.png,labels/train/S1_fall_backwards_cas100001.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100002.png,Subject.1/Fall backwards/cas100002.txt,images/train/S1_fall_backwards_cas100002.png,labels/train/S1_fall_backwards_cas100002.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100003.png,Subject.1/Fall backwards/cas100003.txt,images/train/S1_fall_backwards_cas100003.png,labels/train/S1_fall_backwards_cas100003.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100004.png,Subject.1/Fall backwards/cas100004.txt,images/train/S1_fall_backwards_cas100004.png,labels/train/S1_fall_backwards_cas100004.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100005.png,Subject.1/Fall backwards/cas100005.txt,images/train/S1_fall_backwards_cas100005.png,labels/train/S1_fall_backwards_cas100005.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100006.png,Subject.1/Fall backwards/cas100006.txt,images/train/S1_fall_backwards_cas100006.png,labels/train/S1_fall_backwards_cas100006.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100007.png,Subject.1/Fall backwards/cas100007.txt,images/train/S1_fall_backwards_cas100007.png,labels/train/S1_fall_backwards_cas100007.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100008.png,Subject.1/Fall backwards/cas100008.txt,images/train/S1_fall_backwards_cas100008.png,labels/train/S1_fall_backwards_cas100008.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100009.png,Subject.1/Fall backwards/cas100009.txt,images/train/S1_fall_backwards_cas100009.png,labels/train/S1_fall_backwards_cas100009.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100010.png,Subject.1/Fall backwards/cas100010.txt,images/train/S1_fall_backwards_cas100010.png,labels/train/S1_fall_backwards_cas100010.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100011.png,Subject.1/Fall backwards/cas100011.txt,images/train/S1_fall_backwards_cas100011.png,labels/train/S1_fall_backwards_cas100011.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100012.png,Subject.1/Fall backwards/cas100012.txt,images/train/S1_fall_backwards_cas100012.png,labels/train/S1_fall_backwards_cas100012.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100013.png,Subject.1/Fall backwards/cas100013.txt,images/train/S1_fall_backwards_cas100013.png,labels/train/S1_fall_backwards_cas100013.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100014.png,Subject.1/Fall backwards/cas100014.txt,images/train/S1_fall_backwards_cas100014.png,labels/train/S1_fall_backwards_cas100014.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100015.png,Subject.1/Fall backwards/cas100015.txt,images/train/S1_fall_backwards_cas100015.png,labels/train/S1_fall_backwards_cas100015.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100016.png,Subject.1/Fall backwards/cas100016.txt,images/train/S1_fall_backwards_cas100016.png,labels/train/S1_fall_backwards_cas100016.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100017.png,Subject.1/Fall backwards/cas100017.txt,images/train/S1_fall_backwards_cas100017.png,labels/train/S1_fall_backwards_cas100017.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100018.png,Subject.1/Fall backwards/cas100018.txt,images/train/S1_fall_backwards_cas100018.png,labels/train/S1_fall_backwards_cas100018.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100019.png,Subject.1/Fall backwards/cas100019.txt,images/train/S1_fall_backwards_cas100019.png,labels/train/S1_fall_backwards_cas100019.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100020.png,Subject.1/Fall backwards/cas100020.txt,images/train/S1_fall_backwards_cas100020.png,labels/train/S1_fall_backwards_cas100020.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100021.png,Subject.1/Fall backwards/cas100021.txt,images/train/S1_fall_backwards_cas100021.png,labels/train/S1_fall_backwards_cas100021.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100022.png,Subject.1/Fall backwards/cas100022.txt,images/train/S1_fall_backwards_cas100022.png,labels/train/S1_fall_backwards_cas100022.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100023.png,Subject.1/Fall backwards/cas100023.txt,images/train/S1_fall_backwards_cas100023.png,labels/train/S1_fall_backwards_cas100023.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100024.png,Subject.1/Fall backwards/cas100024.txt,images/train/S1_fall_backwards_cas100024.png,labels/train/S1_fall_backwards_cas100024.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100025.png,Subject.1/Fall backwards/cas100025.txt,images/train/S1_fall_backwards_cas100025.png,labels/train/S1_fall_backwards_cas100025.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100026.png,Subject.1/Fall backwards/cas100026.txt,images/train/S1_fall_backwards_cas100026.png,labels/train/S1_fall_backwards_cas100026.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100027.png,Subject.1/Fall backwards/cas100027.txt,images/train/S1_fall_backwards_cas100027.png,labels/train/S1_fall_backwards_cas100027.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100028.png,Subject.1/Fall backwards/cas100028.txt,images/train/S1_fall_backwards_cas100028.png,labels/train/S1_fall_backwards_cas100028.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100029.png,Subject.1/Fall backwards/cas100029.txt,images/train/S1_fall_backwards_cas100029.png,labels/train/S1_fall_backwards_cas100029.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100030.png,Subject.1/Fall backwards/cas100030.txt,images/train/S1_fall_backwards_cas100030.png,labels/train/S1_fall_backwards_cas100030.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100031.png,Subject.1/Fall backwards/cas100031.txt,images/train/S1_fall_backwards_cas100031.png,labels/train/S1_fall_backwards_cas100031.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100032.png,Subject.1/Fall backwards/cas100032.txt,images/train/S1_fall_backwards_cas100032.png,labels/train/S1_fall_backwards_cas100032.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100033.png,Subject.1/Fall backwards/cas100033.txt,images/train/S1_fall_backwards_cas100033.png,labels/train/S1_fall_backwards_cas100033.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100034.png,Subject.1/Fall backwards/cas100034.txt,images/train/S1_fall_backwards_cas100034.png,labels/train/S1_fall_backwards_cas100034.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100035.png,Subject.1/Fall backwards/cas100035.txt,images/train/S1_fall_backwards_cas100035.png,labels/train/S1_fall_backwards_cas100035.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100036.png,Subject.1/Fall backwards/cas100036.txt,images/train/S1_fall_backwards_cas100036.png,labels/train/S1_fall_backwards_cas100036.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100037.png,Subject.1/Fall backwards/cas100037.txt,images/train/S1_fall_backwards_cas100037.png,labels/train/S1_fall_backwards_cas100037.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100038.png,Subject.1/Fall backwards/cas100038.txt,images/train/S1_fall_backwards_cas100038.png,labels/train/S1_fall_backwards_cas100038.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100039.png,Subject.1/Fall backwards/cas100039.txt,images/train/S1_fall_backwards_cas100039.png,labels/train/S1_fall_backwards_cas100039.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100040.png,Subject.1/Fall backwards/cas100040.txt,images/train/S1_fall_backwards_cas100040.png,labels/train/S1_fall_backwards_cas100040.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100041.png,Subject.1/Fall backwards/cas100041.txt,images/train/S1_fall_backwards_cas100041.png,labels/train/S1_fall_backwards_cas100041.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100042.png,Subject.1/Fall backwards/cas100042.txt,images/train/S1_fall_backwards_cas100042.png,labels/train/S1_fall_backwards_cas100042.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100043.png,Subject.1/Fall backwards/cas100043.txt,images/train/S1_fall_backwards_cas100043.png,labels/train/S1_fall_backwards_cas100043.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100044.png,Subject.1/Fall backwards/cas100044.txt,images/train/S1_fall_backwards_cas100044.png,labels/train/S1_fall_backwards_cas100044.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100045.png,Subject.1/Fall backwards/cas100045.txt,images/train/S1_fall_backwards_cas100045.png,labels/train/S1_fall_backwards_cas100045.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100046.png,Subject.1/Fall backwards/cas100046.txt,images/train/S1_fall_backwards_cas100046.png,labels/train/S1_fall_backwards_cas100046.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100047.png,Subject.1/Fall backwards/cas100047.txt,images/train/S1_fall_backwards_cas100047.png,labels/train/S1_fall_backwards_cas100047.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100048.png,Subject.1/Fall backwards/cas100048.txt,images/train/S1_fall_backwards_cas100048.png,labels/train/S1_fall_backwards_cas100048.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100049.png,Subject.1/Fall backwards/cas100049.txt,images/train/S1_fall_backwards_cas100049.png,labels/train/S1_fall_backwards_cas100049.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100050.png,Subject.1/Fall backwards/cas100050.txt,images/train/S1_fall_backwards_cas100050.png,labels/train/S1_fall_backwards_cas100050.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100051.png,Subject.1/Fall backwards/cas100051.txt,images/train/S1_fall_backwards_cas100051.png,labels/train/S1_fall_backwards_cas100051.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100052.png,Subject.1/Fall backwards/cas100052.txt,images/train/S1_fall_backwards_cas100052.png,labels/train/S1_fall_backwards_cas100052.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100053.png,Subject.1/Fall backwards/cas100053.txt,images/train/S1_fall_backwards_cas100053.png,labels/train/S1_fall_backwards_cas100053.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100054.png,Subject.1/Fall backwards/cas100054.txt,images/train/S1_fall_backwards_cas100054.png,labels/train/S1_fall_backwards_cas100054.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100055.png,Subject.1/Fall backwards/cas100055.txt,images/train/S1_fall_backwards_cas100055.png,labels/train/S1_fall_backwards_cas100055.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100056.png,Subject.1/Fall backwards/cas100056.txt,images/train/S1_fall_backwards_cas100056.png,labels/train/S1_fall_backwards_cas100056.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100057.png,Subject.1/Fall backwards/cas100057.txt,images/train/S1_fall_backwards_cas100057.png,labels/train/S1_fall_backwards_cas100057.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100058.png,Subject.1/Fall backwards/cas100058.txt,images/train/S1_fall_backwards_cas100058.png,labels/train/S1_fall_backwards_cas100058.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100059.png,Subject.1/Fall backwards/cas100059.txt,images/train/S1_fall_backwards_cas100059.png,labels/train/S1_fall_backwards_cas100059.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100060.png,Subject.1/Fall backwards/cas100060.txt,images/train/S1_fall_backwards_cas100060.png,labels/train/S1_fall_backwards_cas100060.txt,hardlink
1,Fall backwards,fall,train,Subject.1/Fall backwards/cas100061.png,Subject.1/Fall backwards/cas100061.txt,images/train/S1_fall_backwards_cas100061.png,labels/train/S1_fall_backwards_cas100061.txt,hardlink
